Station ID   Parameter           Flag   BeginDate    BeginTime   EndDate      EndTime  DQRID
E22          e                   D      03/06/2005   1400        03/16/2005   1900     D050323.2
E15          e                   D      11/08/2004   1830        03/01/2005   1630     D050324.1
E15          c_shf1              D      11/08/2004   1830        03/01/2005   1630     D050324.1
E15          g1                  D      11/08/2004   1830        03/01/2005   1630     D050324.1
E15          h                   D      11/08/2004   1830        03/01/2005   1630     D050324.1
E26          e                   D      01/10/2003   1700        03/03/2005   1600     D050324.3
E26          c_shf1              D      01/10/2003   1700        03/03/2005   1600     D050324.3
E26          g1                  D      01/10/2003   1700        03/03/2005   1600     D050324.3
E26          h                   D      01/10/2003   1700        03/03/2005   1600     D050324.3
E8           e                   D      04/21/2005   0230        04/26/2005   2215     D050413.3
E8           c_shf1              D      04/21/2005   0230        04/26/2005   2215     D050413.3
E8           g1                  D      04/21/2005   0230        04/26/2005   2215     D050413.3
E8           h                   D      04/21/2005   0230        04/26/2005   2215     D050413.3
E4           h                   B      04/24/2005   0830        06/01/2005   1600     D050602.2
E4           e                   B      04/24/2005   0830        06/01/2005   1600     D050602.2
E13          h                   B      06/08/2005   1900        07/06/2005   1630     D050622.1
E13          e                   B      06/08/2005   1900        07/06/2005   1630     D050622.1
E4           e                   B      05/13/2005   1130        05/13/2005   1930     D050624.1
E4           c_shf1              B      05/13/2005   1130        05/13/2005   1930     D050624.1
E4           g1                  B      05/13/2005   1130        05/13/2005   1930     D050624.1
E4           h                   B      05/13/2005   1130        05/13/2005   1930     D050624.1
E15          e                   D      05/13/2005   0800        05/24/2005   1700     D050624.2
E15          h                   D      05/13/2005   0800        05/24/2005   1700     D050624.2
E19          e                   D      05/07/2005   2300        05/12/2005   1445     D050624.3
E19          h                   D      05/07/2005   2300        05/12/2005   1445     D050624.3
E9           e                   D      10/31/2005   0900        11/01/2005   1630     D051104.1
E9           h                   D      10/31/2005   0900        11/01/2005   1630     D051104.1
E2           e                   D      08/04/2005   2200        08/11/2005   1530     D051106.1
E2           h                   D      08/04/2005   2200        08/11/2005   1530     D051106.1
E18          e                   D      07/27/2005   0730        08/03/2005   2100     D051106.10
E18          h                   D      07/27/2005   0730        08/03/2005   2100     D051106.10
E22          e                   D      08/27/2005   2000        08/31/2005   1730     D051106.13
E22          h                   D      08/27/2005   2000        08/31/2005   1730     D051106.13
E27          e                   D      08/05/2005   2200        08/17/2005   1600     D051106.15
E27          h                   D      08/05/2005   2200        08/17/2005   1600     D051106.15
E27          e                   D      08/17/2005   1630        08/27/2005   1930     D051106.16
E27          h                   D      08/17/2005   1630        08/27/2005   1930     D051106.16
E2           e                   D      03/10/2005   1600        03/24/2005   1700     D051106.18
E2           h                   D      03/10/2005   1600        03/24/2005   1700     D051106.18
E4           e                   D      03/09/2005   1730        03/23/2005   1800     D051106.19
E4           h                   D      03/09/2005   1730        03/23/2005   1800     D051106.19
E7           e                   D      03/08/2005   2000        03/22/2005   1900     D051106.20
E7           h                   D      03/08/2005   2000        03/22/2005   1900     D051106.20
E8           e                   D      03/08/2005   1800        03/22/2005   1730     D051106.21
E8           h                   D      03/08/2005   1800        03/22/2005   1730     D051106.21
E9           e                   D      03/08/2005   1630        03/22/2005   1600     D051106.22
E9           h                   D      03/08/2005   1630        03/22/2005   1600     D051106.22
E12          e                   D      03/01/2005   1800        03/29/2005   1830     D051106.23 
E12          h                   D      03/01/2005   1800        03/29/2005   1830     D051106.23
