Station ID   Parameter           Flag   BeginDate    BeginTime   EndDate      EndTime  DQRID
C1           rh_60m              B      02/14/2006   2002        02/14/2006   2105     D040830.4
C1           rh_25m              B      02/14/2006   2002        02/14/2006   2105     D040830.4
C1           temp_60m            B      02/14/2006   2002        02/14/2006   2105     D040830.4
C1           temp_25m            B      02/14/2006   2002        02/14/2006   2105     D040830.4
C1           rh_60m              B      05/31/2006   1756        05/31/2006   1852     D040830.4
C1           rh_25m              B      05/31/2006   1756        05/31/2006   1852     D040830.4
C1           temp_60m            B      05/31/2006   1756        05/31/2006   1852     D040830.4
C1           temp_25m            B      05/31/2006   1756        05/31/2006   1852     D040830.4
C1           rh_60m              B      10/11/2006   1446        10/11/2006   2039     D040830.4
C1           rh_25m              B      10/11/2006   1446        10/11/2006   2039     D040830.4
C1           temp_60m            B      10/11/2006   1446        10/11/2006   2039     D040830.4
C1           temp_25m            B      10/11/2006   1446        10/11/2006   2039     D040830.4
C1           rh_60m              B      07/26/2007   1340        07/26/2007   1900     D040830.4
C1           rh_25m              B      07/26/2007   1340        07/26/2007   1900     D040830.4
C1           temp_60m            B      07/26/2007   1340        07/26/2007   1900     D040830.4
C1           temp_25m            B      07/26/2007   1340        07/26/2007   1900     D040830.4
C1           rh_60m              B      08/20/2007   1450        08/20/2007   1555     D040830.4
C1           rh_25m              B      08/20/2007   1450        08/20/2007   1555     D040830.4
C1           temp_60m            B      08/20/2007   1450        08/20/2007   1555     D040830.4
C1           temp_25m            B      08/20/2007   1450        08/20/2007   1555     D040830.4
C1           rh_60m              D      12/04/2007   1700        01/24/2008   2030     D071217.2
C1           rh_25m              D      12/04/2007   1700        01/24/2008   2030     D071217.2
C1           temp_60m              D      12/04/2007   1700        01/24/2008   2030     D071217.2
C1           temp_25m              D      12/04/2007   1700        01/24/2008   2030     D071217.2
